FECHA|CLIENTE_ID|CANAL|CALIFICACION|COMENTARIO
2026-02-21|CLI-01405|tienda_norte|3|La atención fue adecuada pero no destacó.
2026-03-20|CLI-02197|online|2|El producto llegó con empaque dañado.
2026-03-30|CLI-02834|tienda_norte|3|La atención fue adecuada pero no destacó.
2026-03-21|CLI-02997|online|5|Proceso de compra rápido y sin complicaciones.
2026-01-05|CLI-00396|tienda_sur|2|Tardaron demasiado en atenderme.
2026-01-04|CLI-00423|online|2|El personal no supo resolver mi consulta.
2026-01-14|CLI-02295|tienda_sur|3|Tiempo de espera aceptable pero podría mejorar.
2026-03-21|CLI-02541|online|3|El producto cumplió las expectativas básicas.
2026-03-28|CLI-00958|tienda_sur|5|Proceso de compra rápido y sin complicaciones.
2026-03-13|CLI-01787|online|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-21|CLI-01285|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-01-21|CLI-02205|tienda_norte|2|Tardaron demasiado en atenderme.
2026-01-04|CLI-01979|tienda_norte|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-24|CLI-02913|tienda_sur|4|Proceso de compra rápido y sin complicaciones.
2026-03-08|CLI-02504|tienda_sur|5|Muy buena variedad de productos disponibles.
2026-01-10|CLI-00705|online|2|El producto llegó con empaque dañado.
2026-03-24|CLI-02677|tienda_norte|4|Los productos son de muy buena calidad.
2026-03-03|CLI-02853|online|4|Proceso de compra rápido y sin complicaciones.
2026-01-09|CLI-01844|online|2|Difícil encontrar lo que buscaba, poca señalización.
2026-02-27|CLI-02541|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-30|CLI-02133|tienda_norte|5|La tienda estaba muy ordenada y limpia.
2026-03-15|CLI-01987|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-02-17|CLI-01547|tienda_norte|5|La tienda estaba muy ordenada y limpia.
2026-02-08|CLI-00735|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-06|CLI-01081|tienda_norte|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-10|CLI-00973|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-02|CLI-01904|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-17|CLI-02508|tienda_norte|4|Excelente atención del personal, volveré pronto.
2026-02-03|CLI-02704|online|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-31|CLI-00915|online|3|El producto cumplió las expectativas básicas.
2026-03-20|CLI-00907|tienda_norte|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-02|CLI-02845|tienda_norte|4|Muy buena variedad de productos disponibles.
2026-03-03|CLI-01095|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-03-23|CLI-01919|tienda_norte|2|El personal no supo resolver mi consulta.
2026-03-07|CLI-01916|tienda_sur|4|Los productos son de muy buena calidad.
2026-03-12|CLI-02261|online|4|Excelente atención del personal, volveré pronto.
2026-03-05|CLI-00488|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-02-08|CLI-02469|online|5|Proceso de compra rápido y sin complicaciones.
2026-01-11|CLI-02398|online|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-08|CLI-00766|tienda_norte|3|La atención fue adecuada pero no destacó.
2026-01-24|CLI-00061|online|5|La tienda estaba muy ordenada y limpia.
2026-01-07|CLI-02521|tienda_norte|5|Los productos son de muy buena calidad.
2026-01-15|CLI-01023|tienda_sur|4|La tienda estaba muy ordenada y limpia.
2026-03-08|CLI-01184|tienda_sur|5|Muy buena variedad de productos disponibles.
2026-03-25|CLI-01042|tienda_sur|3|La atención fue adecuada pero no destacó.
2026-01-01|CLI-01420|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-05|CLI-02051|tienda_norte|2|Los precios son más altos que en otros lugares.
2026-01-29|CLI-00148|tienda_norte|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-07|CLI-01546|tienda_sur|1|El producto llegó con empaque dañado.
2026-01-10|CLI-02528|tienda_sur|4|Muy buena variedad de productos disponibles.
2026-02-10|CLI-01976|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-20|CLI-00158|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-14|CLI-01557|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-07|CLI-02287|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-22|CLI-01113|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-02-23|CLI-01642|tienda_norte|4|Excelente atención del personal, volveré pronto.
2026-02-24|CLI-01225|online|2|Tardaron demasiado en atenderme.
2026-02-05|CLI-00134|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-02-25|CLI-02471|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-01|CLI-00925|online|4|Precios competitivos y buena experiencia general.
2026-03-12|CLI-02125|tienda_norte|1|El personal no supo resolver mi consulta.
2026-03-27|CLI-00447|tienda_sur|5|Precios competitivos y buena experiencia general.
2026-02-25|CLI-02694|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-03-11|CLI-01128|tienda_norte|1|Muy poca variedad en la categoría que busqué.
2026-03-07|CLI-02182|tienda_norte|5|La tienda estaba muy ordenada y limpia.
2026-03-08|CLI-00037|online|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-08|CLI-00381|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-02-04|CLI-01765|tienda_sur|4|La tienda estaba muy ordenada y limpia.
2026-02-14|CLI-02059|online|4|Proceso de compra rápido y sin complicaciones.
2026-02-22|CLI-00097|tienda_sur|1|El producto llegó con empaque dañado.
2026-01-30|CLI-02639|online|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-16|CLI-02771|tienda_norte|1|Difícil encontrar lo que buscaba, poca señalización.
2026-02-12|CLI-00247|tienda_sur|3|Regular, algunos productos no estaban disponibles.
2026-01-11|CLI-01220|online|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-11|CLI-00587|online|5|Excelente atención del personal, volveré pronto.
2026-02-21|CLI-01501|tienda_norte|3|Regular, algunos productos no estaban disponibles.
2026-01-11|CLI-01911|tienda_sur|3|La experiencia fue correcta, nada especial.
2026-02-26|CLI-02248|tienda_sur|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-01|CLI-00015|tienda_norte|3|Tiempo de espera aceptable pero podría mejorar.
2026-01-03|CLI-00763|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-03-01|CLI-02255|online|4|La tienda estaba muy ordenada y limpia.
2026-03-25|CLI-02846|tienda_sur|4|Proceso de compra rápido y sin complicaciones.
2026-01-04|CLI-00065|online|5|Proceso de compra rápido y sin complicaciones.
2026-02-18|CLI-01356|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-02-07|CLI-01505|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-01-27|CLI-02124|online|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-06|CLI-02499|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-03-10|CLI-02752|online|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-31|CLI-01013|tienda_norte|2|El producto llegó con empaque dañado.
2026-01-02|CLI-00948|tienda_sur|4|Muy buena variedad de productos disponibles.
2026-03-07|CLI-01937|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-08|CLI-01903|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-03-13|CLI-01246|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-03-04|CLI-00415|tienda_sur|4|Proceso de compra rápido y sin complicaciones.
2026-01-13|CLI-02441|tienda_sur|5|Proceso de compra rápido y sin complicaciones.
2026-03-23|CLI-00664|tienda_norte|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-13|CLI-00189|tienda_sur|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-19|CLI-00955|online|4|La tienda estaba muy ordenada y limpia.
2026-02-02|CLI-00771|online|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-20|CLI-00095|online|5|Precios competitivos y buena experiencia general.
2026-01-29|CLI-01105|tienda_sur|4|Muy buena variedad de productos disponibles.
2026-03-09|CLI-01989|online|4|Excelente atención del personal, volveré pronto.
2026-02-04|CLI-02326|online|5|Excelente atención del personal, volveré pronto.
2026-02-03|CLI-00692|online|2|El producto llegó con empaque dañado.
2026-01-05|CLI-02098|tienda_norte|1|Difícil encontrar lo que buscaba, poca señalización.
2026-03-17|CLI-01077|tienda_norte|4|Los productos son de muy buena calidad.
2026-03-05|CLI-02919|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-18|CLI-02879|tienda_sur|3|La atención fue adecuada pero no destacó.
2026-02-14|CLI-01399|online|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-20|CLI-02359|tienda_norte|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-28|CLI-01696|tienda_norte|5|La tienda estaba muy ordenada y limpia.
2026-02-03|CLI-00019|online|3|La experiencia fue correcta, nada especial.
2026-02-27|CLI-00219|tienda_norte|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-02-07|CLI-01611|tienda_norte|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-10|CLI-00519|tienda_sur|2|Tardaron demasiado en atenderme.
2026-02-17|CLI-02770|tienda_norte|3|La experiencia fue correcta, nada especial.
2026-02-19|CLI-01228|tienda_sur|3|La experiencia fue correcta, nada especial.
2026-03-13|CLI-00221|tienda_norte|5|Los productos son de muy buena calidad.
2026-03-07|CLI-00573|online|2|Tardaron demasiado en atenderme.
2026-03-29|CLI-01976|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-01-13|CLI-01347|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-02-03|CLI-02392|online|2|El personal no supo resolver mi consulta.
2026-01-17|CLI-00431|online|3|La experiencia fue correcta, nada especial.
2026-03-06|CLI-01751|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-02-11|CLI-01972|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-01-31|CLI-01489|online|4|Proceso de compra rápido y sin complicaciones.
2026-01-16|CLI-02842|online|4|Precios competitivos y buena experiencia general.
2026-02-23|CLI-00128|tienda_norte|5|Muy buena variedad de productos disponibles.
2026-03-10|CLI-00751|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-01-23|CLI-00453|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-22|CLI-01608|online|4|Proceso de compra rápido y sin complicaciones.
2026-03-12|CLI-01561|online|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-15|CLI-02210|tienda_norte|5|La tienda estaba muy ordenada y limpia.
2026-01-24|CLI-02147|online|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-20|CLI-01002|tienda_sur|3|La experiencia fue correcta, nada especial.
2026-02-02|CLI-01526|tienda_sur|4|La tienda estaba muy ordenada y limpia.
2026-03-21|CLI-02129|online|4|Excelente atención del personal, volveré pronto.
2026-03-15|CLI-01371|online|4|Precios competitivos y buena experiencia general.
2026-01-18|CLI-00967|tienda_sur|5|Proceso de compra rápido y sin complicaciones.
2026-01-14|CLI-00807|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-04|CLI-01649|online|5|Los productos son de muy buena calidad.
2026-01-11|CLI-02207|tienda_sur|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-03|CLI-01926|online|3|El producto cumplió las expectativas básicas.
2026-03-13|CLI-01628|online|4|Muy buena variedad de productos disponibles.
2026-03-15|CLI-00014|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-02-20|CLI-01456|online|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-02-10|CLI-01280|tienda_sur|4|La tienda estaba muy ordenada y limpia.
2026-03-05|CLI-01930|tienda_norte|4|Precios competitivos y buena experiencia general.
2026-02-01|CLI-00531|online|5|Los productos son de muy buena calidad.
2026-02-21|CLI-00577|tienda_norte|1|El producto llegó con empaque dañado.
2026-01-15|CLI-00843|tienda_sur|2|El personal no supo resolver mi consulta.
2026-02-01|CLI-01665|tienda_sur|1|El personal no supo resolver mi consulta.
2026-03-10|CLI-00867|tienda_norte|3|La atención fue adecuada pero no destacó.
2026-01-23|CLI-01788|online|4|Muy buena variedad de productos disponibles.
2026-01-08|CLI-01737|tienda_norte|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-04|CLI-02710|online|4|Excelente atención del personal, volveré pronto.
2026-02-22|CLI-01669|tienda_sur|4|Precios competitivos y buena experiencia general.
2026-03-15|CLI-00562|tienda_sur|2|Los precios son más altos que en otros lugares.
2026-01-14|CLI-01046|tienda_norte|4|Muy buena variedad de productos disponibles.
2026-01-27|CLI-00099|tienda_norte|5|Los productos son de muy buena calidad.
2026-01-08|CLI-01605|tienda_sur|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-11|CLI-00044|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-01-04|CLI-02837|online|2|Difícil encontrar lo que buscaba, poca señalización.
2026-02-05|CLI-01589|online|4|Proceso de compra rápido y sin complicaciones.
2026-01-01|CLI-01154|tienda_norte|3|Regular, algunos productos no estaban disponibles.
2026-03-26|CLI-02978|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-02-15|CLI-01599|tienda_sur|4|Muy buena variedad de productos disponibles.
2026-02-20|CLI-01800|tienda_sur|3|El producto cumplió las expectativas básicas.
2026-02-26|CLI-02156|tienda_sur|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-18|CLI-00879|tienda_sur|5|Los productos son de muy buena calidad.
2026-03-10|CLI-00835|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-22|CLI-00121|tienda_sur|5|Proceso de compra rápido y sin complicaciones.
2026-03-07|CLI-00443|tienda_sur|4|Precios competitivos y buena experiencia general.
2026-01-28|CLI-00150|tienda_norte|4|Excelente atención del personal, volveré pronto.
2026-03-14|CLI-00556|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-01-30|CLI-02966|tienda_sur|2|Tardaron demasiado en atenderme.
2026-03-28|CLI-02708|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-01-01|CLI-02325|tienda_sur|3|El producto cumplió las expectativas básicas.
2026-01-15|CLI-00584|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-03-05|CLI-02734|online|2|Difícil encontrar lo que buscaba, poca señalización.
2026-01-17|CLI-00520|online|4|La tienda estaba muy ordenada y limpia.
2026-03-13|CLI-00303|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-03-05|CLI-00487|tienda_norte|4|Excelente atención del personal, volveré pronto.
2026-01-10|CLI-02340|tienda_norte|3|Regular, algunos productos no estaban disponibles.
2026-02-18|CLI-00113|tienda_sur|4|Muy buena variedad de productos disponibles.
2026-01-11|CLI-02325|tienda_norte|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-20|CLI-02927|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-02-27|CLI-01717|online|5|Excelente atención del personal, volveré pronto.
2026-02-20|CLI-01983|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-01-12|CLI-01594|online|1|Los precios son más altos que en otros lugares.
2026-02-01|CLI-02385|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-02-20|CLI-02933|tienda_norte|2|Muy poca variedad en la categoría que busqué.
2026-01-28|CLI-00939|tienda_norte|5|Proceso de compra rápido y sin complicaciones.
2026-03-01|CLI-02533|tienda_sur|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-31|CLI-00170|tienda_norte|3|La experiencia fue correcta, nada especial.
2026-01-30|CLI-02055|tienda_norte|5|La tienda estaba muy ordenada y limpia.
2026-03-10|CLI-00403|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-01-06|CLI-02549|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-03-06|CLI-02144|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-24|CLI-01140|online|5|La tienda estaba muy ordenada y limpia.
2026-03-10|CLI-02199|tienda_norte|2|Tardaron demasiado en atenderme.
2026-02-01|CLI-01821|tienda_norte|2|Los precios son más altos que en otros lugares.
2026-01-20|CLI-02180|online|2|Tardaron demasiado en atenderme.
2026-03-29|CLI-01834|online|4|Proceso de compra rápido y sin complicaciones.
2026-03-27|CLI-02840|online|5|La tienda estaba muy ordenada y limpia.
2026-02-05|CLI-02870|tienda_sur|5|Excelente atención del personal, volveré pronto.
2026-03-09|CLI-01607|tienda_sur|3|Tiempo de espera aceptable pero podría mejorar.
2026-02-03|CLI-00507|online|3|La atención fue adecuada pero no destacó.
2026-02-21|CLI-01759|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-01-27|CLI-01731|tienda_sur|3|Regular, algunos productos no estaban disponibles.
2026-03-06|CLI-01758|online|4|Excelente atención del personal, volveré pronto.
2026-03-12|CLI-02249|online|5|Proceso de compra rápido y sin complicaciones.
2026-03-25|CLI-02973|tienda_sur|4|Excelente atención del personal, volveré pronto.
2026-02-06|CLI-00063|tienda_norte|3|Regular, algunos productos no estaban disponibles.
2026-01-21|CLI-01748|online|2|Tardaron demasiado en atenderme.
2026-02-27|CLI-00138|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-03-03|CLI-02274|tienda_sur|3|La experiencia fue correcta, nada especial.
2026-01-15|CLI-01131|tienda_norte|4|Excelente atención del personal, volveré pronto.
2026-02-12|CLI-02032|online|5|Excelente atención del personal, volveré pronto.
2026-02-07|CLI-02577|online|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-25|CLI-00853|online|5|Proceso de compra rápido y sin complicaciones.
2026-02-17|CLI-00280|online|5|Proceso de compra rápido y sin complicaciones.
2026-03-03|CLI-02511|tienda_sur|4|Precios competitivos y buena experiencia general.
2026-03-17|CLI-02946|online|4|Excelente atención del personal, volveré pronto.
2026-01-30|CLI-01591|tienda_norte|3|Regular, algunos productos no estaban disponibles.
2026-03-11|CLI-01244|tienda_sur|5|Los productos son de muy buena calidad.
2026-01-12|CLI-00592|tienda_norte|3|El producto cumplió las expectativas básicas.
2026-03-22|CLI-00492|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-01-24|CLI-00380|online|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-12|CLI-01180|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-02-21|CLI-00267|tienda_norte|5|Excelente atención del personal, volveré pronto.
2026-02-07|CLI-02049|online|2|El producto llegó con empaque dañado.
2026-03-05|CLI-00464|tienda_norte|4|Los productos son de muy buena calidad.
2026-01-31|CLI-01112|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-01-15|CLI-00492|online|3|Tiempo de espera aceptable pero podría mejorar.
2026-02-15|CLI-02585|tienda_norte|2|El personal no supo resolver mi consulta.
2026-02-25|CLI-00677|tienda_norte|5|Excelente atención del personal, volveré pronto.
2026-03-19|CLI-02848|online|4|Los productos son de muy buena calidad.
2026-01-08|CLI-01584|online|5|Excelente atención del personal, volveré pronto.
2026-03-24|CLI-01269|tienda_norte|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-03|CLI-00547|online|4|La tienda estaba muy ordenada y limpia.
2026-01-09|CLI-01989|tienda_norte|5|Precios competitivos y buena experiencia general.
2026-01-03|CLI-00365|tienda_norte|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-02-03|CLI-00437|tienda_sur|5|La tienda estaba muy ordenada y limpia.
2026-03-10|CLI-00003|tienda_sur|4|Precios competitivos y buena experiencia general.
2026-03-26|CLI-00833|tienda_sur|4|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-02-03|CLI-01297|online|2|Tardaron demasiado en atenderme.
2026-03-01|CLI-02107|online|4|Excelente atención del personal, volveré pronto.
2026-03-20|CLI-01504|tienda_norte|1|El personal no supo resolver mi consulta.
2026-02-24|CLI-01967|online|3|Tiempo de espera aceptable pero podría mejorar.
2026-02-19|CLI-00243|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-01-20|CLI-02882|tienda_sur|5|Precios competitivos y buena experiencia general.
2026-02-18|CLI-02069|tienda_sur|2|Difícil encontrar lo que buscaba, poca señalización.
2026-03-22|CLI-01481|tienda_norte|4|Muy buena variedad de productos disponibles.
2026-03-09|CLI-02315|online|4|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-30|CLI-02311|tienda_sur|5|Muy buena variedad de productos disponibles.
2026-03-23|CLI-01450|tienda_norte|5|Proceso de compra rápido y sin complicaciones.
2026-03-01|CLI-00211|tienda_norte|4|Proceso de compra rápido y sin complicaciones.
2026-01-03|CLI-00620|tienda_sur|5|Precios competitivos y buena experiencia general.
2026-02-09|CLI-02481|tienda_norte|5|Proceso de compra rápido y sin complicaciones.
2026-02-22|CLI-02003|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-03-24|CLI-00925|online|4|Proceso de compra rápido y sin complicaciones.
2026-01-08|CLI-00135|online|3|La experiencia fue correcta, nada especial.
2026-01-31|CLI-02148|tienda_norte|5|Proceso de compra rápido y sin complicaciones.
2026-03-17|CLI-01974|tienda_sur|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-03-05|CLI-00944|online|5|El personal fue muy amable y me ayudó a encontrar lo que buscaba.
2026-01-16|CLI-00641|tienda_sur|5|Precios competitivos y buena experiencia general.
2026-01-01|CLI-02462|tienda_norte|2|Tardaron demasiado en atenderme.
2026-01-25|CLI-02471|online|3|El producto cumplió las expectativas básicas.
2026-03-07|CLI-00594|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
2026-01-20|CLI-02551|tienda_norte|5|Excelente atención del personal, volveré pronto.
2026-02-01|CLI-00230|online|4|Precios competitivos y buena experiencia general.
2026-01-08|CLI-02654|tienda_norte|4|La tienda estaba muy ordenada y limpia.
2026-02-10|CLI-00664|tienda_norte|2|Los precios son más altos que en otros lugares.
2026-03-06|CLI-01665|tienda_sur|3|El producto cumplió las expectativas básicas.
2026-01-22|CLI-02616|online|2|Tardaron demasiado en atenderme.
2026-01-25|CLI-01621|tienda_norte|2|Los precios son más altos que en otros lugares.
2026-03-04|CLI-01477|tienda_sur|5|Encontré todo lo que necesitaba, muy completo el catálogo.
